ra,ano_referencia,fase,genero,inde_ano,prob_risco,nivel_risco
RA-1,2022,7,Feminino,5.783,0.9751392559634886,Alto Risco
RA-2,2022,7,Feminino,7.055,0.2949283656120423,Baixo Risco
RA-3,2022,7,Feminino,6.591,0.937538781965966,Alto Risco
RA-4,2022,7,Masculino,5.951,0.9809397596642925,Alto Risco
RA-5,2022,7,Feminino,7.427,0.41216844583723466,Risco Moderado
RA-6,2022,7,Feminino,5.848,0.9774361702549024,Alto Risco
RA-7,2022,7,Masculino,6.818,0.802173465743658,Alto Risco
RA-8,2022,7,Feminino,4.786,0.9825415663061927,Alto Risco
RA-9,2022,7,Feminino,8.109,0.5745813212284218,Risco Moderado
RA-10,2022,7,Feminino,5.784,0.9780172265583021,Alto Risco
RA-11,2022,7,Feminino,5.323,0.9784271449289337,Alto Risco
RA-12,2022,7,Feminino,4.832,0.9869023034182458,Alto Risco
RA-13,2022,7,Masculino,6.902,0.8871831108044851,Alto Risco
RA-14,2022,7,Masculino,6.793,0.9199533687550427,Alto Risco
RA-15,2022,7,Masculino,7.783,0.8329764777155625,Alto Risco
RA-16,2022,7,Masculino,6.112,0.9485295197666572,Alto Risco
RA-17,2022,7,Masculino,8.068,0.7642828601771784,Alto Risco
RA-18,2022,7,Masculino,7.226,0.7423177311793315,Alto Risco
RA-19,2022,7,Feminino,7.665,0.8014521883202151,Alto Risco
RA-20,2022,7,Feminino,7.535,0.8416121476087784,Alto Risco
RA-21,2022,7,Masculino,6.945,0.8729352944145257,Alto Risco
RA-22,2022,6,Feminino,7.474,0.8645582600478265,Alto Risco
RA-23,2022,6,Masculino,7.677,0.7127608901108358,Alto Risco
RA-24,2022,6,Feminino,8.087,0.6657524411125774,Alto Risco
RA-25,2022,6,Feminino,7.979,0.8890830686494096,Alto Risco
RA-26,2022,6,Masculino,8.677,0.901143248055609,Alto Risco
RA-27,2022,6,Masculino,7.124,0.8469272175742052,Alto Risco
RA-28,2022,6,Feminino,6.242,0.7944817192331382,Alto Risco
RA-29,2022,6,Masculino,4.985,0.9788867184521977,Alto Risco
RA-30,2022,6,Feminino,7.605,0.5314301949857687,Risco Moderado
RA-31,2022,6,Feminino,8.843,0.4319701445532614,Risco Moderado
RA-32,2022,6,Feminino,7.37,0.36796887190432065,Risco Moderado
RA-33,2022,6,Feminino,4.952,0.9732126302095297,Alto Risco
RA-34,2022,6,Masculino,6.259,0.9016867051515118,Alto Risco
RA-35,2022,6,Feminino,8.965,0.7786428871831799,Alto Risco
RA-36,2022,6,Feminino,7.876,0.7385656777695969,Alto Risco
RA-37,2022,6,Feminino,4.95,0.9872708581941031,Alto Risco
RA-38,2022,6,Feminino,8.523,0.8801881302898023,Alto Risco
RA-39,2022,6,Feminino,6.033,0.8867342635430505,Alto Risco
RA-40,2022,5,Feminino,7.203,0.8042668610138753,Alto Risco
RA-41,2022,5,Masculino,5.581,0.9821560457344698,Alto Risco
RA-42,2022,5,Masculino,6.72,0.3722344417502761,Risco Moderado
RA-43,2022,5,Feminino,5.486,0.9795509895266126,Alto Risco
RA-44,2022,5,Feminino,5.542,0.976374362290295,Alto Risco
RA-45,2022,5,Feminino,7.591,0.13675131259123793,Baixo Risco
RA-46,2022,5,Feminino,6.048,0.9417651185932957,Alto Risco
RA-47,2022,5,Feminino,5.677,0.988339598296874,Alto Risco
RA-48,2022,5,Feminino,8.006,0.5787097815549302,Risco Moderado
RA-49,2022,5,Feminino,6.304,0.9422352154180338,Alto Risco
RA-50,2022,5,Feminino,7.138,0.8892143704831527,Alto Risco
RA-51,2022,5,Feminino,6.488,0.9500197931326515,Alto Risco
RA-52,2022,5,Masculino,7.861,0.42779959343992296,Risco Moderado
RA-53,2022,5,Masculino,6.725,0.9588057420959091,Alto Risco
RA-54,2022,5,Feminino,6.058,0.948494730734492,Alto Risco
RA-55,2022,5,Feminino,6.576,0.9057038050560096,Alto Risco
RA-56,2022,5,Feminino,8.404,0.016570777265743453,Baixo Risco
RA-57,2022,5,Masculino,7.305,0.7790749435789224,Alto Risco
RA-58,2022,5,Masculino,8.136,0.008875181982992471,Baixo Risco
RA-59,2022,5,Masculino,7.642,0.88583618213016,Alto Risco
RA-60,2022,5,Feminino,5.537,0.9818384738166858,Alto Risco
RA-61,2022,5,Masculino,7.533,0.5646171923221348,Risco Moderado
RA-62,2022,5,Masculino,7.891,0.8916409102751937,Alto Risco
RA-63,2022,5,Masculino,8.282,0.8503968800250563,Alto Risco
RA-64,2022,5,Masculino,7.368,0.6939619178309524,Alto Risco
RA-65,2022,5,Feminino,7.712,0.952273110399433,Alto Risco
RA-66,2022,5,Feminino,5.665,0.9809824336241508,Alto Risco
RA-67,2022,5,Feminino,5.195,0.9885924951545959,Alto Risco
RA-68,2022,5,Masculino,6.438,0.9152932055203957,Alto Risco
RA-69,2022,5,Masculino,5.718,0.9851060033494993,Alto Risco
RA-70,2022,5,Feminino,5.712,0.9829645604438055,Alto Risco
RA-71,2022,5,Feminino,4.332,0.9873371176233257,Alto Risco
RA-72,2022,5,Feminino,7.64,0.9412758037991051,Alto Risco
RA-73,2022,5,Feminino,5.271,0.9866884281752544,Alto Risco
RA-74,2022,5,Masculino,4.989,0.9805931770864176,Alto Risco
RA-75,2022,5,Feminino,3.915,0.991756162977806,Alto Risco
RA-76,2022,5,Feminino,9.105,0.23643678969600773,Baixo Risco
RA-77,2022,5,Masculino,3.846,0.9940527592247441,Alto Risco
RA-78,2022,5,Masculino,7.04,0.6892286751602966,Alto Risco
RA-79,2022,5,Feminino,6.847,0.929939982241523,Alto Risco
RA-80,2022,5,Feminino,7.29,0.5953882201407305,Risco Moderado
RA-81,2022,5,Feminino,7.675,0.2670083584910489,Baixo Risco
RA-82,2022,5,Feminino,6.596,0.9468152490925738,Alto Risco
RA-83,2022,5,Feminino,6.671,0.951051633533346,Alto Risco
RA-84,2022,5,Feminino,6.682,0.9348107581644707,Alto Risco
RA-85,2022,5,Masculino,6.243,0.9563740618819878,Alto Risco
RA-86,2022,5,Masculino,7.566,0.791535713031711,Alto Risco
RA-87,2022,5,Masculino,8.712,0.647200772283308,Alto Risco
RA-88,2022,5,Masculino,7.498,0.7993203967362941,Alto Risco
RA-89,2022,5,Masculino,7.323,0.7797713044997616,Alto Risco
RA-90,2022,5,Feminino,9.442,0.0756555635666914,Baixo Risco
RA-91,2022,5,Feminino,6.645,0.9148614750787253,Alto Risco
RA-92,2022,5,Feminino,6.957,0.9484677881933301,Alto Risco
RA-93,2022,5,Feminino,8.941,0.18846478243860265,Baixo Risco
RA-94,2022,5,Feminino,8.921,0.07161270768258032,Baixo Risco
RA-95,2022,5,Feminino,6.308,0.871360856691993,Alto Risco
RA-96,2022,5,Masculino,7.54,0.7158872692300122,Alto Risco
RA-97,2022,5,Feminino,7.468,0.6401244827118034,Alto Risco
RA-98,2022,5,Feminino,9.354,0.07564150633116919,Baixo Risco
RA-99,2022,5,Masculino,6.158,0.857881291317145,Alto Risco
RA-100,2022,4,Feminino,7.618,0.18632923689509523,Baixo Risco
RA-101,2022,4,Feminino,7.305,0.674233836606699,Alto Risco
RA-102,2022,4,Masculino,6.922,0.8589738710343827,Alto Risco
RA-103,2022,4,Feminino,8.107,0.023238681681485584,Baixo Risco
RA-104,2022,4,Masculino,6.315,0.9523567548890038,Alto Risco
RA-105,2022,4,Masculino,6.846,0.9225069879564689,Alto Risco
RA-106,2022,4,Feminino,7.973,0.8386615599192364,Alto Risco
RA-107,2022,4,Feminino,6.258,0.9134965486141348,Alto Risco
RA-108,2022,4,Feminino,5.547,0.9798953340743158,Alto Risco
RA-109,2022,4,Masculino,8.512,0.6078756904333328,Alto Risco
RA-110,2022,4,Masculino,8.15,0.023235860225707363,Baixo Risco
RA-111,2022,4,Feminino,8.646,0.08825258064723021,Baixo Risco
RA-112,2022,4,Feminino,7.836,0.8914299905759306,Alto Risco
RA-113,2022,4,Feminino,3.032,0.989515035531744,Alto Risco
RA-114,2022,4,Masculino,5.894,0.9837357305630811,Alto Risco
RA-115,2022,4,Feminino,5.886,0.9742917288699598,Alto Risco
RA-116,2022,4,Feminino,6.854,0.9175143701073402,Alto Risco
RA-117,2022,4,Feminino,6.685,0.941691840423263,Alto Risco
RA-118,2022,4,Feminino,5.597,0.97668348060926,Alto Risco
RA-119,2022,4,Feminino,7.501,0.5747729513738176,Risco Moderado
RA-120,2022,4,Masculino,6.825,0.8950184283888263,Alto Risco
RA-121,2022,4,Feminino,7.245,0.5914097879447728,Risco Moderado
RA-122,2022,4,Feminino,5.061,0.9925409847332719,Alto Risco
RA-123,2022,4,Masculino,7.084,0.5901022471894779,Risco Moderado
RA-124,2022,4,Masculino,7.388,0.6168942005704853,Alto Risco
RA-125,2022,4,Feminino,7.619,0.8761029466907797,Alto Risco
RA-126,2022,4,Masculino,6.289,0.905273724816354,Alto Risco
RA-127,2022,4,Feminino,8.283,0.10605486926022094,Baixo Risco
RA-128,2022,4,Masculino,5.563,0.9750338702547436,Alto Risco
RA-129,2022,4,Masculino,6.926,0.843686996695576,Alto Risco
RA-130,2022,4,Feminino,5.624,0.9779941184885083,Alto Risco
RA-131,2022,4,Feminino,7.174,0.5595463794137854,Risco Moderado
RA-132,2022,4,Feminino,8.355,0.02437533923873311,Baixo Risco
RA-133,2022,4,Feminino,6.875,0.9568752018144323,Alto Risco
RA-134,2022,4,Feminino,6.607,0.9127802630608793,Alto Risco
RA-135,2022,4,Feminino,7.692,0.6161251079915889,Alto Risco
RA-136,2022,4,Masculino,6.478,0.9237936334798699,Alto Risco
RA-137,2022,4,Feminino,7.056,0.662583996569425,Alto Risco
RA-138,2022,4,Masculino,6.738,0.9557299258658464,Alto Risco
RA-139,2022,4,Masculino,3.738,0.9922451991792258,Alto Risco
RA-140,2022,4,Feminino,7.407,0.5207862248172538,Risco Moderado
RA-141,2022,4,Masculino,7.118,0.6141548493087949,Alto Risco
RA-142,2022,4,Feminino,7.457,0.5637335889442654,Risco Moderado
RA-143,2022,4,Masculino,8.638,0.1362609375828418,Baixo Risco
RA-144,2022,4,Feminino,8.181,0.09141236025675725,Baixo Risco
RA-145,2022,4,Masculino,5.846,0.9839800437826325,Alto Risco
RA-146,2022,4,Feminino,7.947,0.9244469516475496,Alto Risco
RA-147,2022,4,Feminino,7.541,0.6599282609924622,Alto Risco
RA-148,2022,4,Masculino,7.894,0.5250792055723352,Risco Moderado
RA-149,2022,4,Feminino,6.323,0.9311478865101356,Alto Risco
RA-150,2022,4,Feminino,6.962,0.9017733450102255,Alto Risco
RA-151,2022,4,Feminino,7.563,0.8207750427904009,Alto Risco
RA-152,2022,4,Feminino,6.712,0.9268547616860614,Alto Risco
RA-153,2022,4,Feminino,7.535,0.49953906616465743,Risco Moderado
RA-154,2022,4,Masculino,6.073,0.9238349047309996,Alto Risco
RA-155,2022,4,Masculino,7.051,0.6945567298655344,Alto Risco
RA-156,2022,4,Masculino,7.357,0.8256528229716451,Alto Risco
RA-157,2022,4,Feminino,8.317,0.014708789925746977,Baixo Risco
RA-158,2022,4,Feminino,7.302,0.7393410633890957,Alto Risco
RA-159,2022,4,Feminino,6.49,0.9086026636042053,Alto Risco
RA-160,2022,4,Feminino,6.746,0.9198500237623051,Alto Risco
RA-161,2022,4,Feminino,7.957,0.5053973312328879,Risco Moderado
RA-162,2022,4,Feminino,7.215,0.6255334341597584,Alto Risco
RA-163,2022,4,Feminino,6.797,0.9259350917810474,Alto Risco
RA-164,2022,4,Masculino,6.776,0.9265288351475769,Alto Risco
RA-165,2022,4,Feminino,8.063,0.02914085927290736,Baixo Risco
RA-166,2022,4,Masculino,8.253,0.12614511931868752,Baixo Risco
RA-167,2022,4,Feminino,7.798,0.903363031420541,Alto Risco
RA-168,2022,4,Feminino,6.917,0.9392308946751369,Alto Risco
RA-169,2022,4,Feminino,5.159,0.9865871394021977,Alto Risco
RA-170,2022,4,Feminino,7.007,0.5051882028011799,Risco Moderado
RA-171,2022,4,Masculino,6.581,0.9514000470857493,Alto Risco
RA-172,2022,4,Feminino,8.673,0.020975087421583383,Baixo Risco
RA-173,2022,4,Masculino,7.816,0.9649146028783067,Alto Risco
RA-174,2022,4,Feminino,6.075,0.814758509697544,Alto Risco
RA-175,2022,4,Feminino,6.75,0.8576629790500598,Alto Risco
RA-176,2022,3,Feminino,8.427,0.02157175170503564,Baixo Risco
RA-177,2022,3,Feminino,7.424,0.5847992895194343,Risco Moderado
RA-178,2022,3,Feminino,7.025,0.34942402463390587,Risco Moderado
RA-179,2022,3,Masculino,7.993,0.2906400838490853,Baixo Risco
RA-180,2022,3,Masculino,8.442,0.013139169426535802,Baixo Risco
RA-181,2022,3,Feminino,8.623,0.018481436813938077,Baixo Risco
RA-182,2022,3,Feminino,6.328,0.8647749886012505,Alto Risco
RA-183,2022,3,Feminino,7.3,0.3878578165489457,Risco Moderado
RA-184,2022,3,Masculino,7.28,0.6395964130779075,Alto Risco
RA-185,2022,3,Masculino,6.615,0.9077112877210218,Alto Risco
RA-186,2022,3,Feminino,7.832,0.3764330095876089,Risco Moderado
RA-187,2022,3,Feminino,7.928,0.16730067838787638,Baixo Risco
RA-188,2022,3,Masculino,5.307,0.9771350888907829,Alto Risco
RA-189,2022,3,Masculino,7.629,0.7317398160347784,Alto Risco
RA-190,2022,3,Feminino,7.335,0.370349714864968,Risco Moderado
RA-191,2022,3,Masculino,8.74,0.014341994030419289,Baixo Risco
